Period,Dimension,Org_Level,Org_Code,Org_Name,Measure,Count_Of,Value
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y61,EAST OF ENGLAND COMMISSIONING REGION,30 to 34,Deliveries,18860
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y61,EAST OF ENGLAND COMMISSIONING REGION,35 to 39,Deliveries,9335
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y61,EAST OF ENGLAND COMMISSIONING REGION,40 to 44,Deliveries,1740
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y61,EAST OF ENGLAND COMMISSIONING REGION,45 or Over,Deliveries,120
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y61,EAST OF ENGLAND COMMISSIONING REGION,Missing value / Value outside reporting parameters,Deliveries,0
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y62,NORTH WEST COMMISSIONING REGION,Under 20,Deliveries,2325
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y62,NORTH WEST COMMISSIONING REGION,20 to 24,Deliveries,9060
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y62,NORTH WEST COMMISSIONING REGION,25 to 29,Deliveries,17575
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y62,NORTH WEST COMMISSIONING REGION,30 to 34,Deliveries,18715
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y62,NORTH WEST COMMISSIONING REGION,35 to 39,Deliveries,8810
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y62,NORTH WEST COMMISSIONING REGION,40 to 44,Deliveries,1645
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y62,NORTH WEST COMMISSIONING REGION,45 or Over,Deliveries,110
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y62,NORTH WEST COMMISSIONING REGION,Missing value / Value outside reporting parameters,Deliveries,5
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,Under 20,Deliveries,3610
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,20 to 24,Deliveries,13000
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,25 to 29,Deliveries,23410
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,30 to 34,Deliveries,22575
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,35 to 39,Deliveries,10230
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,40 to 44,Deliveries,1900
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,45 or Over,Deliveries,100
2020-21,AgeAtBookingMotherGroup,NHS England (Region),Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,Missing value / Value outside reporting parameters,Deliveries,0
2020-21,AgeAtBookingMotherGroup,Provider,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,Under 20,Deliveries,205
2020-21,AgeAtBookingMotherGroup,Provider,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,20 to 24,Deliveries,915
2020-21,AgeAtBookingMotherGroup,Provider,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,25 to 29,Deliveries,2025
2020-21,AgeAtBookingMotherGroup,Provider,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,30 to 34,Deliveries,2720
2020-21,AgeAtBookingMotherGroup,Provider,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,35 to 39,Deliveries,1495
2020-21,AgeAtBookingMotherGroup,Provider,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,40 to 44,Deliveries,295
2020-21,AgeAtBookingMotherGroup,Provider,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,45 or Over,Deliveries,20
2020-21,AgeAtBookingMotherGroup,Provider,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,Missing value / Value outside reporting parameters,Deliveries,5
2020-21,AgeAtBookingMotherGroup,Provider,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,Under 20,Deliveries,225
2020-21,AgeAtBookingMotherGroup,Provider,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,20 to 24,Deliveries,745
2020-21,AgeAtBookingMotherGroup,Provider,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,25 to 29,Deliveries,1285
2020-21,AgeAtBookingMotherGroup,Provider,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,30 to 34,Deliveries,1080
2020-21,AgeAtBookingMotherGroup,Provider,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,35 to 39,Deliveries,470
2020-21,AgeAtBookingMotherGroup,Provider,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,40 to 44,Deliveries,75
2020-21,AgeAtBookingMotherGroup,Provider,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,45 or Over,Deliveries,5
2020-21,AgeAtBookingMotherGroup,Provider,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,Missing value / Value outside reporting parameters,Deliveries,0
2020-21,AgeAtBookingMotherGroup,Provider,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,Under 20,Deliveries,110
2020-21,AgeAtBookingMotherGroup,Provider,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,20 to 24,Deliveries,545
2020-21,AgeAtBookingMotherGroup,Provider,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,25 to 29,Deliveries,1190
2020-21,AgeAtBookingMotherGroup,Provider,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,30 to 34,Deliveries,1490
2020-21,AgeAtBookingMotherGroup,Provider,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,35 to 39,Deliveries,795
2020-21,AgeAtBookingMotherGroup,Provider,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,40 to 44,Deliveries,140
2020-21,AgeAtBookingMotherGroup,Provider,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,45 or Over,Deliveries,10
2020-21,AgeAtBookingMotherGroup,Provider,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,Missing value / Value outside reporting parameters,Deliveries,0
2020-21,AgeAtBookingMotherGroup,Provider,R1F,ISLE OF WIGHT NHS TRUST,Under 20,Deliveries,25
2020-21,AgeAtBookingMotherGroup,Provider,R1F,ISLE OF WIGHT NHS TRUST,20 to 24,Deliveries,170
2020-21,AgeAtBookingMotherGroup,Provider,R1F,ISLE OF WIGHT NHS TRUST,25 to 29,Deliveries,260
2020-21,AgeAtBookingMotherGroup,Provider,R1F,ISLE OF WIGHT NHS TRUST,30 to 34,Deliveries,235
2020-21,AgeAtBookingMotherGroup,Provider,R1F,ISLE OF WIGHT NHS TRUST,35 to 39,Deliveries,105
2020-21,AgeAtBookingMotherGroup,Provider,R1F,ISLE OF WIGHT NHS TRUST,40 to 44,Deliveries,20
2020-21,AgeAtBookingMotherGroup,Provider,R1F,ISLE OF WIGHT NHS TRUST,45 or Over,Deliveries,5
2020-21,AgeAtBookingMotherGroup,Provider,R1F,ISLE OF WIGHT NHS TRUST,Missing value / Value outside reporting parameters,Deliveries,0
2020-21,AgeAtBookingMotherGroup,Provider,R1H,BARTS HEALTH NHS TRUST,Under 20,Deliveries,235
2020-21,AgeAtBookingMotherGroup,Provider,R1H,BARTS HEALTH NHS TRUST,20 to 24,Deliveries,1640
2020-21,AgeAtBookingMotherGroup,Provider,R1H,BARTS HEALTH NHS TRUST,25 to 29,Deliveries,3675
2020-21,AgeAtBookingMotherGroup,Provider,R1H,BARTS HEALTH NHS TRUST,30 to 34,Deliveries,4285
2020-21,AgeAtBookingMotherGroup,Provider,R1H,BARTS HEALTH NHS TRUST,35 to 39,Deliveries,2285
2020-21,AgeAtBookingMotherGroup,Provider,R1H,BARTS HEALTH NHS TRUST,40 to 44,Deliveries,520
2020-21,AgeAtBookingMotherGroup,Provider,R1H,BARTS HEALTH NHS TRUST,45 or Over,Deliveries,50
2020-21,AgeAtBookingMotherGroup,Provider,R1H,BARTS HEALTH NHS TRUST,Missing value / Value outside reporting parameters,Deliveries,5
2020-21,AgeAtBookingMotherGroup,Provider,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,Under 20,Deliveries,90
2020-21,AgeAtBookingMotherGroup,Provider,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,20 to 24,Deliveries,700
2020-21,AgeAtBookingMotherGroup,Provider,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,25 to 29,Deliveries,1180
2020-21,AgeAtBookingMotherGroup,Provider,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,30 to 34,Deliveries,1360
2020-21,AgeAtBookingMotherGroup,Provider,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,35 to 39,Deliveries,665
2020-21,AgeAtBookingMotherGroup,Provider,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,40 to 44,Deliveries,135
2020-21,AgeAtBookingMotherGroup,Provider,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,45 or Over,Deliveries,15
2020-21,AgeAtBookingMotherGroup,Provider,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,Missing value / Value outside reporting parameters,Deliveries,0
2020-21,AgeAtBookingMotherGroup,Provider,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,Under 20,Deliveries,40
2020-21,AgeAtBookingMotherGroup,Provider,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,20 to 24,Deliveries,175
2020-21,AgeAtBookingMotherGroup,Provider,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,25 to 29,Deliveries,480
2020-21,AgeAtBookingMotherGroup,Provider,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,30 to 34,Deliveries,950
2020-21,AgeAtBookingMotherGroup,Provider,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,35 to 39,Deliveries,595
2020-21,AgeAtBookingMotherGroup,Provider,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,40 to 44,Deliveries,105
2020-21,AgeAtBookingMotherGroup,Provider,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,45 or Over,Deliveries,10
2020-21,AgeAtBookingMotherGroup,Provider,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,Missing value / Value outside reporting parameters,Deliveries,0
2020-21,AgeAtBookingMotherGroup,Provider,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,Under 20,Deliveries,55
2020-21,AgeAtBookingMotherGroup,Provider,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,20 to 24,Deliveries,210
2020-21,AgeAtBookingMotherGroup,Provider,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,25 to 29,Deliveries,395
2020-21,AgeAtBookingMotherGroup,Provider,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,30 to 34,Deliveries,385
2020-21,AgeAtBookingMotherGroup,Provider,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,35 to 39,Deliveries,165
2020-21,AgeAtBookingMotherGroup,Provider,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,40 to 44,Deliveries,35
2020-21,AgeAtBookingMotherGroup,Provider,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,45 or Over,Deliveries,5
2020-21,AgeAtBookingMotherGroup,Provider,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,Missing value / Value outside reporting parameters,Deliveries,0
2020-21,AgeAtBookingMotherGroup,Provider,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,Under 20,Deliveries,45
2020-21,AgeAtBookingMotherGroup,Provider,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,20 to 24,Deliveries,165
2020-21,AgeAtBookingMotherGroup,Provider,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,25 to 29,Deliveries,390
2020-21,AgeAtBookingMotherGroup,Provider,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,30 to 34,Deliveries,565
2020-21,AgeAtBookingMotherGroup,Provider,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,35 to 39,Deliveries,325
2020-21,AgeAtBookingMotherGroup,Provider,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,40 to 44,Deliveries,55
2020-21,AgeAtBookingMotherGroup,Provider,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,45 or Over,Deliveries,5
2020-21,AgeAtBookingMotherGroup,Provider,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,Missing value / Value outside reporting parameters,Deliveries,0
2020-21,AgeAtBookingMotherGroup,Provider,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,Under 20,Deliveries,70
2020-21,AgeAtBookingMotherGroup,Provider,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,20 to 24,Deliveries,285
2020-21,AgeAtBookingMotherGroup,Provider,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,25 to 29,Deliveries,540
2020-21,AgeAtBookingMotherGroup,Provider,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,30 to 34,Deliveries,550
2020-21,AgeAtBookingMotherGroup,Provider,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,35 to 39,Deliveries,265
2020-21,AgeAtBookingMotherGroup,Provider,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,40 to 44,Deliveries,50
2020-21,AgeAtBookingMotherGroup,Provider,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,45 or Over,Deliveries,5
2020-21,AgeAtBookingMotherGroup,Provider,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,Missing value / Value outside reporting parameters,Deliveries,0
2020-21,AgeAtBookingMotherGroup,Provider,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,Under 20,Deliveries,240
2020-21,AgeAtBookingMotherGroup,Provider,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,20 to 24,Deliveries,890
2020-21,AgeAtBookingMotherGroup,Provider,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,25 to 29,Deliveries,1515
2020-21,AgeAtBookingMotherGroup,Provider,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,30 to 34,Deliveries,1260
2020-21,AgeAtBookingMotherGroup,Provider,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,35 to 39,Deliveries,615
2020-21,AgeAtBookingMotherGroup,Provider,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,40 to 44,Deliveries,130
2020-21,AgeAtBookingMotherGroup,Provider,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,45 or Over,Deliveries,5
2020-21,AgeAtBookingMotherGroup,Provider,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,Missing value / Value outside reporting parameters,Deliveries,0
2020-21,AgeAtBookingMotherGroup,Provider,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,Under 20,Deliveries,250
2020-21,AgeAtBookingMotherGroup,Provider,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,20 to 24,Deliveries,1100
2020-21,AgeAtBookingMotherGroup,Provider,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,25 to 29,Deliveries,2675
2020-21,AgeAtBookingMotherGroup,Provider,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,30 to 34,Deliveries,3200
2020-21,AgeAtBookingMotherGroup,Provider,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,35 to 39,Deliveries,1485
2020-21,AgeAtBookingMotherGroup,Provider,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,40 to 44,Deliveries,250
2020-21,AgeAtBookingMotherGroup,Provider,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,45 or Over,Deliveries,20
2020-21,AgeAtBookingMotherGroup,Provider,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,Missing value / Value outside reporting parameters,Deliveries,0
2020-21,AgeAtBookingMotherGroup,Provider,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,Under 20,Deliveries,100
2020-21,AgeAtBookingMotherGroup,Provider,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,20 to 24,Deliveries,810
2020-21,AgeAtBookingMotherGroup,Provider,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,25 to 29,Deliveries,1760
2020-21,AgeAtBookingMotherGroup,Provider,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,30 to 34,Deliveries,2455
2020-21,AgeAtBookingMotherGroup,Provider,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,35 to 39,Deliveries,1410
2020-21,AgeAtBookingMotherGroup,Provider,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,40 to 44,Deliveries,305
2020-21,AgeAtBookingMotherGroup,Provider,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,45 or Over,Deliveries,35
2020-21,AgeAtBookingMotherGroup,Provider,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,Missing value / Value outside reporting parameters,Deliveries,0
2020-21,AgeAtBookingMotherGroup,Provider,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,Under 20,Deliveries,70
2020-21,AgeAtBookingMotherGroup,Provider,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,20 to 24,Deliveries,240
2020-21,AgeAtBookingMotherGroup,Provider,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,25 to 29,Deliveries,380
2020-21,AgeAtBookingMotherGroup,Provider,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,30 to 34,Deliveries,395
2020-21,AgeAtBookingMotherGroup,Provider,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,35 to 39,Deliveries,215
2020-21,AgeAtBookingMotherGroup,Provider,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,40 to 44,Deliveries,45
2020-21,AgeAtBookingMotherGroup,Provider,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,45 or Over,Deliveries,5
2020-21,AgeAtBookingMotherGroup,Provider,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,Missing value / Value outside reporting parameters,Deliveries,0
2020-21,AgeAtBookingMotherGroup,Provider,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,Under 20,Deliveries,75
2020-21,AgeAtBookingMotherGroup,Provider,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,20 to 24,Deliveries,475
2020-21,AgeAtBookingMotherGroup,Provider,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,25 to 29,Deliveries,1145
2020-21,AgeAtBookingMotherGroup,Provider,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,30 to 34,Deliveries,1260
2020-21,AgeAtBookingMotherGroup,Provider,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,35 to 39,Deliveries,680
2020-21,AgeAtBookingMotherGroup,Provider,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,40 to 44,Deliveries,145
2020-21,AgeAtBookingMotherGroup,Provider,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,45 or Over,Deliveries,5
2020-21,AgeAtBookingMotherGroup,Provider,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,Missing value / Value outside reporting parameters,Deliveries,0
2020-21,AgeAtBookingMotherGroup,Provider,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,Under 20,Deliveries,40
2020-21,AgeAtBookingMotherGroup,Provider,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,20 to 24,Deliveries,245
2020-21,AgeAtBookingMotherGroup,Provider,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,25 to 29,Deliveries,725
2020-21,AgeAtBookingMotherGroup,Provider,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,30 to 34,Deliveries,1730
2020-21,AgeAtBookingMotherGroup,Provider,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,35 to 39,Deliveries,1315
2020-21,AgeAtBookingMotherGroup,Provider,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,40 to 44,Deliveries,310
2020-21,AgeAtBookingMotherGroup,Provider,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,45 or Over,Deliveries,25
2020-21,AgeAtBookingMotherGroup,Provider,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,Missing value / Value outside reporting parameters,Deliveries,0
2020-21,AgeAtBookingMotherGroup,Provider,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,Under 20,Deliveries,55
