period,dimension,org_level,org_code,org_name,measure1,count_of,value
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RHM,University Hospital Southampton NHS Foundation Trust,0 to 6,babies,50
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RHM,University Hospital Southampton NHS Foundation Trust,7 to 10,babies,2350
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RHM,University Hospital Southampton NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,20
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,0 to 6,babies,35
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,7 to 10,babies,2150
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,3375
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RHU,Portsmouth Hospitals University National Health Service Trust,Missing Value / Value outside reporting parameters,babies,930
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RHW,Royal Berkshire NHS Foundation Trust,0 to 6,babies,45
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RHW,Royal Berkshire NHS Foundation Trust,7 to 10,babies,4365
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RHW,Royal Berkshire NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,30
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RJ1,Guys and St Thomas NHS Foundation Trust,7 to 10,babies,5
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RJ1,Guys and St Thomas NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,5585
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RJ2,Lewisham and Greenwich NHS Trust,0 to 6,babies,50
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RJ2,Lewisham and Greenwich NHS Trust,7 to 10,babies,5980
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RJ2,Lewisham and Greenwich NHS Trust,Missing Value / Value outside reporting parameters,babies,580
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RJ6,Croydon Health Services NHS Trust,Missing Value / Value outside reporting parameters,babies,1645
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RJ7,St Georges University Hospitals NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,3575
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RJC,South Warwickshire NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,2770
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RJE,University Hospitals of North Midlands NHS Trust,Missing Value / Value outside reporting parameters,babies,5065
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RJL,Northern Lincolnshire and Goole NHS Foundation Trust,0 to 6,babies,45
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RJL,Northern Lincolnshire and Goole NHS Foundation Trust,7 to 10,babies,3530
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RJL,Northern Lincolnshire and Goole NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,15
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RJN,East Cheshire NHS Trust,Missing Value / Value outside reporting parameters,babies,1400
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RJZ,Kings College Hospital NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,7610
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RK5,Sherwood Forest Hospitals NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,2230
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RK9,University Hospitals Plymouth NHS Trust,0 to 6,babies,65
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RK9,University Hospitals Plymouth NHS Trust,7 to 10,babies,3100
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RK9,University Hospitals Plymouth NHS Trust,Missing Value / Value outside reporting parameters,babies,135
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RKB,University Hospitals Coventry and Warwickshire NHS Trust,0 to 6,babies,20
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RKB,University Hospitals Coventry and Warwickshire NHS Trust,7 to 10,babies,1550
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RKB,University Hospitals Coventry and Warwickshire NHS Trust,Missing Value / Value outside reporting parameters,babies,3510
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RL4,The Royal Wolverhampton NHS Trust,Missing Value / Value outside reporting parameters,babies,4410
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RLQ,Wye Valley NHS Trust,Missing Value / Value outside reporting parameters,babies,1205
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RLT,George Eliot Hospital NHS Trust,0 to 6,babies,20
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RLT,George Eliot Hospital NHS Trust,7 to 10,babies,1645
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RLT,George Eliot Hospital NHS Trust,Missing Value / Value outside reporting parameters,babies,65
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RM1,Norfolk and Norwich University Hospitals NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,4705
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RMC,Bolton NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,5060
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RMP,Tameside and Glossop Integrated Care NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,2010
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RN5,Hampshire Hospitals NHS Foundation Trust,0 to 6,babies,235
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RN5,Hampshire Hospitals NHS Foundation Trust,7 to 10,babies,4305
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RN5,Hampshire Hospitals NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,30
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RN7,Dartford and Gravesham NHS Trust,Missing Value / Value outside reporting parameters,babies,4375
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RNA,The Dudley Group NHS Foundation Trust,0 to 6,babies,45
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RNA,The Dudley Group NHS Foundation Trust,7 to 10,babies,3750
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RNA,The Dudley Group NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,20
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RNL,North Cumbria Integrated Care NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,595
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RNN,North Cumbria Integrated Care NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,1285
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RNZ,Salisbury NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,2065
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RP5,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,3905
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RPA,Medway NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,3830
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RQ3,Birmingham Womens and Childrens NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,7360
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RQ8,Mid Essex Hospital Services NHS Trust,Missing Value / Value outside reporting parameters,babies,3305
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RQM,Chelsea and Westminster Hospital NHS Foundation Trust,0 to 6,babies,50
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RQM,Chelsea and Westminster Hospital NHS Foundation Trust,7 to 10,babies,6775
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RQM,Chelsea and Westminster Hospital NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,25
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RQW,The Princess Alexandra Hospital NHS Trust,Missing Value / Value outside reporting parameters,babies,1785
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RQX,Homerton University Hospital NHS Foundation Trust,0 to 6,babies,5
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RQX,Homerton University Hospital NHS Foundation Trust,7 to 10,babies,760
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RQX,Homerton University Hospital NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,2900
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RR7,Gateshead Health NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,1595
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RR8,Leeds Teaching Hospitals NHS Trust,7 to 10,babies,5
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RR8,Leeds Teaching Hospitals NHS Trust,Missing Value / Value outside reporting parameters,babies,8200
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RRF,"Wrightington, Wigan and Leigh NHS Foundation Trust",Missing Value / Value outside reporting parameters,babies,1885
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RRK,University Hospitals Birmingham NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,8350
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RRV,University College London Hospitals NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,3590
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RTD,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,5455
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RTF,Northumbria Healthcare NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,1040
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RTG,University Hospitals of Derby and Burton NHS Foundation Trust,0 to 6,babies,100
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RTG,University Hospitals of Derby and Burton NHS Foundation Trust,7 to 10,babies,6820
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RTG,University Hospitals of Derby and Burton NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,235
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RTH,Oxford University Hospitals NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,2080
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RTK,Ashford and St Peters Hospitals NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,3260
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RTR,South Tees Hospitals NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,4215
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RTX,University Hospitals of Morecambe Bay NHS Foundation Trust,0 to 6,babies,5
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RTX,University Hospitals of Morecambe Bay NHS Foundation Trust,7 to 10,babies,195
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RTX,University Hospitals of Morecambe Bay NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,1895
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RVJ,North Bristol NHS Trust,Missing Value / Value outside reporting parameters,babies,2400
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RVR,Epsom and St Helier University Hospitals NHS Trust,Missing Value / Value outside reporting parameters,babies,3740
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RVV,East Kent Hospitals University NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,840
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RVW,North Tees and Hartlepool NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,1865
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RW6,Pennine Acute Hospitals NHS Trust,Missing Value / Value outside reporting parameters,babies,7290
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RWA,Hull University Teaching Hospitals NHS Trust,7 to 10,babies,5
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RWA,Hull University Teaching Hospitals NHS Trust,Missing Value / Value outside reporting parameters,babies,4350
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RWE,University Hospitals of Leicester NHS Trust,7 to 10,babies,5
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RWE,University Hospitals of Leicester NHS Trust,Missing Value / Value outside reporting parameters,babies,7875
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RWF,Maidstone and Tunbridge Wells NHS Trust,Missing Value / Value outside reporting parameters,babies,5185
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RWG,West Hertfordshire Hospitals NHS Trust,0 to 6,babies,40
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RWG,West Hertfordshire Hospitals NHS Trust,7 to 10,babies,3950
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RWG,West Hertfordshire Hospitals NHS Trust,Missing Value / Value outside reporting parameters,babies,5
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RWH,East and North Hertfordshire NHS Trust,0 to 6,babies,55
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RWH,East and North Hertfordshire NHS Trust,7 to 10,babies,4770
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RWH,East and North Hertfordshire NHS Trust,Missing Value / Value outside reporting parameters,babies,20
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RWJ,Stockport NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,2180
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RWP,Worcestershire Acute Hospitals NHS Trust,Missing Value / Value outside reporting parameters,babies,4460
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RWW,Warrington and Halton Hospitals NHS Foundation Trust,0 to 6,babies,25
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RWW,Warrington and Halton Hospitals NHS Foundation Trust,7 to 10,babies,2245
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RWW,Warrington and Halton Hospitals NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,50
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RWY,Calderdale and Huddersfield NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,3780
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RXC,East Sussex Healthcare NHS Trust,Missing Value / Value outside reporting parameters,babies,2645
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RXF,Mid Yorkshire Hospitals NHS Trust,Missing Value / Value outside reporting parameters,babies,5320
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RXH,Brighton and Sussex University Hospitals NHS Trust,Missing Value / Value outside reporting parameters,babies,1750
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RXK,Sandwell and West Birmingham Hospitals NHS Trust,7 to 10,babies,5
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RXK,Sandwell and West Birmingham Hospitals NHS Trust,Missing Value / Value outside reporting parameters,babies,3870
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RXL,Blackpool Teaching Hospitals NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,2395
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RXN,Lancashire Teaching Hospitals NHS Foundation Trust,7 to 10,babies,5
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RXN,Lancashire Teaching Hospitals NHS Foundation Trust,Missing Value / Value outside reporting parameters,babies,3775
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RXW,Shrewsbury and Telford Hospital NHS Trust,0 to 6,babies,40
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RXW,Shrewsbury and Telford Hospital NHS Trust,7 to 10,babies,3985
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RXW,Shrewsbury and Telford Hospital NHS Trust,Missing Value / Value outside reporting parameters,babies,30
2019-20,APGARSCORE5TERMGROUP7,PROVIDER,RYJ,Imperial College Healthcare NHS Trust,Missing Value / Value outside reporting parameters,babies,385
2019-20,APGARSCORE5TERMGROUP7,REGION,Y56,London,0 to 6,babies,135
2019-20,APGARSCORE5TERMGROUP7,REGION,Y56,London,7 to 10,babies,17700
2019-20,APGARSCORE5TERMGROUP7,REGION,Y56,London,Missing Value / Value outside reporting parameters,babies,48110
2019-20,APGARSCORE5TERMGROUP7,REGION,Y58,South West,0 to 6,babies,95
2019-20,APGARSCORE5TERMGROUP7,REGION,Y58,South West,7 to 10,babies,4005
2019-20,APGARSCORE5TERMGROUP7,REGION,Y58,South West,Missing Value / Value outside reporting parameters,babies,20690
2019-20,APGARSCORE5TERMGROUP7,REGION,Y59,South East,0 to 6,babies,410
2019-20,APGARSCORE5TERMGROUP7,REGION,Y59,South East,7 to 10,babies,19360
2019-20,APGARSCORE5TERMGROUP7,REGION,Y59,South East,Missing Value / Value outside reporting parameters,babies,28135
2019-20,APGARSCORE5TERMGROUP7,REGION,Y60,Midlands,0 to 6,babies,225
2019-20,APGARSCORE5TERMGROUP7,REGION,Y60,Midlands,7 to 10,babies,17750
2019-20,APGARSCORE5TERMGROUP7,REGION,Y60,Midlands,Missing Value / Value outside reporting parameters,babies,55110
2019-20,APGARSCORE5TERMGROUP7,REGION,Y61,East of England,0 to 6,babies,230
2019-20,APGARSCORE5TERMGROUP7,REGION,Y61,East of England,7 to 10,babies,21005
2019-20,APGARSCORE5TERMGROUP7,REGION,Y61,East of England,Missing Value / Value outside reporting parameters,babies,18475
2019-20,APGARSCORE5TERMGROUP7,REGION,Y62,North West,0 to 6,babies,150
2019-20,APGARSCORE5TERMGROUP7,REGION,Y62,North West,7 to 10,babies,11285
2019-20,APGARSCORE5TERMGROUP7,REGION,Y62,North West,Missing Value / Value outside reporting parameters,babies,28845
2019-20,APGARSCORE5TERMGROUP7,REGION,Y63,North East and Yorkshire,0 to 6,babies,200
2019-20,APGARSCORE5TERMGROUP7,REGION,Y63,North East and Yorkshire,7 to 10,babies,11725
2019-20,APGARSCORE5TERMGROUP7,REGION,Y63,North East and Yorkshire,Missing Value / Value outside reporting parameters,babies,53120
2019-20,BABYFIRSTFEEDBREASTMILKSTATUS,ALL SUBMITTERS,ALL,ALL SUBMITTERS,Maternal or Donor Breast Milk,babies,214735
2019-20,BABYFIRSTFEEDBREASTMILKSTATUS,ALL SUBMITTERS,ALL,ALL SUBMITTERS,Missing Value / Value outside reporting parameters,babies,61815
2019-20,BABYFIRSTFEEDBREASTMILKSTATUS,ALL SUBMITTERS,ALL,ALL SUBMITTERS,Not Breast Milk,babies,80190
2019-20,BABYFIRSTFEEDBREASTMILKSTATUS,PROVIDER,R0B,South Tyneside and Sunderland FT,Maternal or Donor Breast Milk,babies,1345
2019-20,BABYFIRSTFEEDBREASTMILKSTATUS,PROVIDER,R0B,South Tyneside and Sunderland FT,Missing Value / Value outside reporting parameters,babies,240
